id,full_title,age,view_count,like_count,dislike_count,comment_count,artists
1293,Sancho ft. Gildo Kassa - Atasayugn | አታሳዩኝ - New Ethiopian Music 2017 (Official Video),710,8661615,23175,2934,1944,SANCHO
1294,Sancho ft. Gildo Kassa - Atasayugn | አታሳዩኝ - New Ethiopian Music 2017 (Official Video),710,8661615,23175,2934,1944,GILDO KASSA
1295,Solomon kinde - Sitayign (ስታይኝ) - New Ethiopian Music 2015 (Official Video),1418,13770,56,5,13,SOLOMON KINDE
1296,Genet Mulugeta - Nana - New Ethiopian Music 2016 (Official Video),1306,521852,996,179,205,GENET MULUGETA
1297,Bisrat Surafel - Kal Bekal | ቃል በቃል - New Ethiopian Music Album Promo 2018,541,41474,324,23,54,BISRAT SURAFEL
1298,Michael Amde (JJ miko) - Yiberdal New Ethiopian Music 2014 (Official Video),1810,54568,60,18,7,MICHAEL AMDE
1299,Esmiz Man - Nesh Selame | ነሽ ሰላሜ - New Ethiopian Music 2019 (Official Video),102,63829,625,46,111,ESMIZ MAN
1300,Ashenafi Adefres - Libe Alegn Tenesa - New Ethiopian Music 2018 (Official Video),526,75093,475,60,235,ASHENAFI ADEFRES
1301,Tom Amdu & Solomon Teresa - Yebuhelet Mata - New Ethiopian Music 2016 (Official Video),1172,17594,88,16,30,TOM AMDU
1302,Tom Amdu & Solomon Teresa - Yebuhelet Mata - New Ethiopian Music 2016 (Official Video),1172,17594,88,16,30,SOLOMON TERESA
1303,Banchiamlak Getnet - Zarenew - New Ethiopian Music 2016 (Official Video),1317,492402,1095,194,204,BANCHIAMLAK GETNET
1304,Million Abebe (ዘንዬ አራዳ) - Yebet Kiray | የቤት ኪራይ - New Ethiopian Music 2017 (Official Video),836,1211816,3869,557,756,MILLION ABEBE
1305,Amigo| Ezel & Biruk - Akabedech | አካበደች - New Ethiopian Music 2019 (Official Video),228,448251,2410,354,516,AMIGO
1306,Amigo| Ezel & Biruk - Akabedech | አካበደች - New Ethiopian Music 2019 (Official Video),228,448251,2410,354,516,EZEL
1307,Amigo| Ezel & Biruk - Akabedech | አካበደች - New Ethiopian Music 2019 (Official Video),228,448251,2410,354,516,BIRUK
1308,Fikiru Arage (የአሜሪካው) - Kizhet (ቅዠት) - New Ethiopian  Musical Comedy 2016 (Official Video),1230,316875,995,114,332,FIKIRU ARAGE
1309,Tigist Addisu - Wefe Lala | ወፌ ላላ - New Ethiopian Music 2017 (Official Video),766,483745,1429,284,406,TIGIST ADDISU
1310,Abraham Nigussie - Teketye | ተከትዬ - New Ethiopian Music 2018 (Official Video),443,60246,646,66,146,ABRAHAM NIGUSSIE
1311,Mesfin Berhanu - Tezez | ተዘዝ - New Ethiopian Music 2019 (Official Video),254,4911659,12682,959,1232,MESFIN BERHANU
1312,Muas Baba -  Weyne Weyne | ወይኔ ወይኔ - New Ethiopian Music 2016 (Official Video),1094,1561361,5029,638,829,MUAS BABA
1313,Alemnesh  Yemane - Teharafi | ተሃራፊ - New Ethiopian Tigrigna Music 2018 (Official Video),531,36790,401,38,100,ALEMNESH  YEMANE
1314,Sam Habesha - Hoya Gashe | ሆያ ጋሼ - New Ethiopian Music 2018 (Official Video),589,62201,485,49,127,SAM HABESHA
1315,Sami Addis - Sirekitaye | ስርቅታዬ - New Ethiopian Music 2019 (Official Video),60,83717,1078,55,175,SAMI ADDIS
1316,Yonas Afera ft. Mulualem Takele & Gildo Kassa - Yene Shega - New Ethiopian Music (Official Video),901,45704,348,46,82,YONAS AFERA
1317,Yonas Afera ft. Mulualem Takele & Gildo Kassa - Yene Shega - New Ethiopian Music (Official Video),901,45704,348,46,82,MULUALEM TAKELE
1318,Yonas Afera ft. Mulualem Takele & Gildo Kassa - Yene Shega - New Ethiopian Music (Official Video),901,45704,348,46,82,GILDO KASSA
1319,Fasil Tilahun & Yadi Yosi - Maraki | ማራኪ - New Ethiopian Music 2019 (Official Video),173,68575,657,58,149,FASIL TILAHUN
1320,Fasil Tilahun & Yadi Yosi - Maraki | ማራኪ - New Ethiopian Music 2019 (Official Video),173,68575,657,58,149,YADI YOSI
1321,Joorji Abbuu - Amma'utuu Deemanii - New Ethiopian Music 2016 (Official Video),1098,15404,66,11,23,JOORJI ABBUU
1322,Bilisummaa Raggaasaa - Goobee - New Ethiopian Music 2017 (Official Video),782,151409,686,76,157,BILISUMMAA RAGGAASAA
1323,Yami Brhane - Abziatey | ኣብዚኣተይ - New Ethiopian Tigrigna Music 2018 (Official Video),629,284033,2398,201,459,YAMI BRHANE
1324,G Mesay Kebede - Zebibey | ዘቢበይ - New Ethiopian Music 2019 (Official Video),225,1144841,6050,384,699,G MESAY KEBEDE
1325,Mikiyas Nigussie (Miki Lala) - Man Serkosh Yiwedal | ማን ሰርቆሽ ይወዳል - New Ethiopian Music 2019,304,242344,1795,140,297,MIKIYAS NIGUSSIE
1326,Rosi (Buteka) - Des Yalegn | ደስ ያለኝ - New Ethiopian Music 2019 (Official Video),176,215604,2660,2339,2649,ROSI
1327,Tariku Shamena - Enema | እኔማ - New Ethiopian Music 2018 (Official Video),440,779336,2618,455,373,TARIKU SHAMENA
1328,Abebe Girma - Somaw | ሶማው - New Ethiopian Music 2018 (Official Video),618,250743,921,150,232,ABEBE GIRMA
1329,Abdu Kiar -  Zhwa Zhwe - New Ethiopian Music 2016 (Official Video),1277,5099171,9925,1507,1528,ABDU KIAR
1330,Frezer Aregahegne Worash - Yene Nesh Woy New Ethiopian Music 2014 (Official Video),1813,48471,119,17,20,FREZER AREGAHEGNE WORASH
1331,Tsigereda Legesse - Selame | ሰላሜ - New Ethiopian Music 2019 (Official Video),276,90922,606,94,172,TSIGEREDA LEGESSE
1332,Tadele Roba ft Ewolo Mazembo Serge - Tosishe - New Ethiopian Music 2016 (Official Video),1274,4030835,8004,1477,980,TADELE ROBA
1333,Tadele Roba ft Ewolo Mazembo Serge - Tosishe - New Ethiopian Music 2016 (Official Video),1274,4030835,8004,1477,980,EWOLO MAZEMBO SERGE
1334,Yonas Abate - Hulum Silat | ሁሉም ሲላት - New Ethiopian Music 2017 (Official Video),720,73675,479,36,121,YONAS ABATE
1335,Jote Deresu ft. Netsi - SHINEW MEWEDAT (ሺ ነዉ ሚወዳት) - New Ethiopian Music 2016 (Official Video),1151,373444,1615,132,297,JOTE DERESU
1336,Jote Deresu ft. Netsi - SHINEW MEWEDAT (ሺ ነዉ ሚወዳት) - New Ethiopian Music 2016 (Official Video),1151,373444,1615,132,297,NETSI
1337,Ashenafi Kefyalew - Dominado - New Ethiopian Music 2019 (Official Video),13,37748,474,32,106,ASHENAFI KEFYALEW
1338,Yonas Gizaw - Keswa Gar | ከሷ ጋር - New Ethiopian Music 2017 (Official Video),978,252445,831,138,197,YONAS GIZAW
1339,Hot New Ethiopian Music 2014 Feysal Haji - Bareeddu Arsii (Official Audio),1846,15144,62,5,4,FEYSAL HAJI
1340,Sintayehu Fantu - Ledegagim New | ልደጋግም ነው - New Ethiopian Music 2017 (Official Video),692,37721,245,20,90,SINTAYEHU FANTU
